Date,Close/Last,Volume,Open,High,Low
07/06/2020,423.0804,--,410.7009,423.2302,410.517
07/02/2020,400.2704,--,398.0779,403.3121,395.9191
07/01/2020,388.2768,--,387.9727,391.1363,387.5576
06/30/2020,387.0284,--,378.2617,387.6756,377.8752
06/29/2020,378.3994,--,369.1652,379.2439,365.7008
06/26/2020,365.775,--,374.8688,375.1817,365.1947
06/25/2020,375.5559,--,368.9776,375.5793,365.543
06/24/2020,373.3213,--,379.4484,381.4953,368.2727
06/23/2020,383.3787,--,387.3843,387.9145,382.9407
06/22/2020,381.3182,--,382.6051,383.1104,377.991
06/19/2020,382.1831,--,387.6033,389.7531,381.4936
06/18/2020,382.084,--,377.224,384.9697,376.9243
06/17/2020,378.3747,--,387.1638,387.4849,377.6012
06/16/2020,385.5984,--,391.708,391.7524,378.8892
06/15/2020,378.7009,--,358.5723,379.8492,357.75
06/12/2020,369.236,--,374.4159,376.3117,360.6216
06/11/2020,361.3588,--,369.146,375.3018,360.7967
06/10/2020,388.6408,--,392.3035,393.3256,384.9171
06/09/2020,390.1378,--,386.7058,392.861,383.8602
06/08/2020,393.5363,--,389.1655,393.6291,388.3038
06/05/2020,383.2327,--,382.6692,386.7485,380.6342
06/04/2020,372.0057,--,371.1411,375.6266,368.5282
06/03/2020,371.4712,--,365.2546,372.8739,365.1424
06/02/2020,360.1117,--,361.7175,362.8212,356.4474
06/01/2020,359.4055,--,350.0971,360.4582,349.8711
05/29/2020,350.3219,--,344.2615,350.5476,342.975
05/28/2020,345.4348,--,354.2093,355.1358,344.5097
05/27/2020,354.6346,--,352.8753,354.7894,341.8173
05/26/2020,349.5893,--,347.8469,352.7103,347.6334
05/22/2020,335.9904,--,339.0279,339.0279,333.8194
05/21/2020,338.5202,--,340.4867,342.6944,334.4411
05/20/2020,343.2106,--,344.1201,347.8975,341.1056
05/19/2020,337.0002,--,336.7083,344.0523,335.697
05/18/2020,337.7093,--,328.3942,338.6775,328.342
05/15/2020,315.3296,--,311.2372,316.0773,309.4963
05/14/2020,315.6289,--,306.6192,315.6289,300.7511
05/13/2020,313.0764,--,323.8972,324.6749,308.5886
05/12/2020,324.1676,--,334.9555,337.8311,324.0287
05/11/2020,333.2574,--,328.8781,335.1676,327.9297
05/08/2020,334.5847,--,327.8188,334.5847,324.3509
05/07/2020,321.6427,--,320.1438,322.4503,316.3367
05/06/2020,316.7413,--,313.7647,318.9233,311.7688
05/05/2020,309.2538,--,313.5344,316.4246,308.0754
05/04/2020,306.5286,--,298.1554,306.6294,297.1573
05/01/2020,301.9899,--,310.0072,312.3654,297.728
04/30/2020,319.5787,--,329.6051,329.9083,318.4466
04/29/2020,332.9096,--,322.958,333.7419,322.6076
04/28/2020,313.8094,--,317.5638,318.7314,309.4794
04/27/2020,310.622,--,300.3626,311.0469,299.8995
04/24/2020,297.0027,--,296.2286,298.1055,291.799
04/23/2020,294.328,--,294.8359,299.9066,293.5352
04/22/2020,293.2602,--,288.1989,294.1762,286.7298
